BOARD_TYPE_ID;NAME
1;"Electrical Longboard"
2;"Electrical Skateboard"
3;"Electrical Scooter"
4;"Onewheeler"
5;"Segway"
6;"Longboard"
7;"Skateboard"
8;"Scooter"
